Enterobacterales,Pseudomonas,S. maltophilia,Acinetobacter,Staphylococcus,Enterococcus,"Streptococcus A,B,C,G",S. pneumoniae,Viridans group Streptococci,H. influenzae,M. catarrhalis,N. gonorrheae,N. meningitidis,Bacteroides,Prevotella,F. necrophorum,C. perfringens,C. acnes,C. difficile,H. pylori,L. monocytogenes,Pasteurella,Campylobacter jejuni and coli,Corynebacterium,Corynebacterium diphteriae and ulcerans,Aerococcus sanguinicola and urinae,K. kingae,Aeromonas,A. xylosoxidans,Vibrio,Bacillus,B. pseudomallei,Candida and Cryptococcus,Aspergillus
Citrobacter diversus,Pseudomonas fulva,,Acinetobacter junii,Staphylococcus cohnii cohnii,,,,Streptococcus pseudopneumoniae,,,,,Bacteroides dorei,Prevotella corporis,,,,,,,Pasteurella multocida gallicida,,Corynebacterium belfantii,,,,Aeromonas punctata,,,Bacillus glucanolyticus,,,
Citrobacter farmeri,Pseudomonas gladioli,,Acinetobacter lwoffii,Staphylococcus cohnii urealyticum,,,,Streptococcus sinensis,,,,,Bacteroides eggerthii,Prevotella dentalis,,,,,,,Pasteurella multocida multocida,,Corynebacterium betae,,,,Aeromonas punctata caviae,,,Bacillus idriensis,,,
Citrobacter freundii,Pseudomonas glumae,,Acinetobacter nosocomialis,Staphylococcus cohnii urealyticus,,,,Streptococcus sanguinis,,,,,Bacteroides endodontalis,Prevotella denticola,,,,,,,Pasteurella multocida septica,,Corynebacterium bovis,,,,Aeromonas punctata punctata,,,Bacillus infantis,,,
Citrobacter koseri,Pseudomonas huttiensis,,Acinetobacter parvus,Staphylococcus condimenti,,,,Streptococcus parasanguinis,,,,,Bacteroides faecis,Prevotella disiens,,,,,,,Pasteurella pneumotropica,,Corynebacterium canis,,,,Aeromonas salmonicida,,,Bacillus licheniforme,,,
Citrobacter malonatica,Pseudomonas japonica,,Acinetobacter pittii,Staphylococcus cornubiensis,,,,Streptococcus gordonii,,,,,Bacteroides fluxus,Prevotella enoeca,,,,,,,Pasteurella stomatis,,Corynebacterium confusum,,,,Aeromonas salmonicida achromogenes,,,Bacillus licheniformis,,,
Citrobacter pasteurii,Pseudomonas juntendi,,Acinetobacter radioresistens,Staphylococcus delphini,,,,Streptococcus equinus,,,,,Bacteroides forsythus,Prevotella fusca,,,,,,,Pasteurella ureae,,Corynebacterium coyleae,,,,Aeromonas salmonicida masoucida,,,Bacillus macerans,,,
Citrobacter rodentium,Pseudomonas kunmingensis,,Acinetobacter schindleri,Staphylococcus epidermidis,,,,Streptococcus gallolyticus,,,,,Bacteroides fragilis,Prevotella heparinolytica,,,,,,,Pasteurella sp.,,Corynebacterium dentalis,,,,Aeromonas salmonicida pectinolytica,,,Bacillus massiliensis,,,
Citrobacter sedlakii,Pseudomonas luteola,,Acinetobacter seifertii,Staphylococcus equorum,,,,Streptococcus bovis,,,,,Bacteroides galacturonicus,Prevotella intermedia,,,,,,,,,Corynebacterium durum,,,,Aeromonas salmonicida salmonicida,,,Bacillus mycoides,,,
Citrobacter werkmanii,Pseudomonas mallei,,Acinetobacter silvestris,Staphylococcus equorum equorum,,,,Streptococcus infantarius,,,,,Bacteroides gingivalis,Prevotella intermedius,,,,,,,,,Corynebacterium equi,,,,Aeromonas salmonicida smithia,,,Bacillus polymyxa,,,
Citrobacter youngae,Pseudomonas maltophilia,,Acinetobacter ursingii,Staphylococcus equorum linens,,,,Streptococcus lutetiensis,,,,,Bacteroides goldsteinii,Prevotella loescheii,,,,,,,,,Corynebacterium falsenii,,,,Aeromonas sanarellii,,,Bacillus pumilus,,,
Cronobacter malonaticus,Pseudomonas mendocina,,Acinetobacter variabilis,Staphylococcus gallinarum,,,,Streptococcus pasteurianus,,,,,Bacteroides gracilis,Prevotella maculosa,,,,,,,,,Corynebacterium fascians,,,,Aeromonas schubertii,,,Bacillus sphaericus,,,
Cronobacter sakazakii,Pseudomonas mesophilica,,Acinetobacter sp.,Staphylococcus haemolyticus,,,,Streptococcus salivarius,,,,,Bacteroides heparinolyticus,Prevotella marshii,,,,,,,,,Corynebacterium flaccumfaciens,,,,Aeromonas sobria,,,Bacillus subtilis,,,
Cronobacter turicensis,Pseudomonas monteilii,,,Staphylococcus hominis,,,,Streptococcus vestibularis,,,,,Bacteroides hypermegas,Prevotella melaninogenica,,,,,,,,,Corynebacterium flaccumfaciens betae,,,,Aeromonas taiwanensis,,,Bacillus subtilis inaquosorum,,,
Edwardsiella anguillimortifera,Pseudomonas mosselii,,,Staphylococcus hominis hominis,,,,Streptococcus thermophilus,,,,,Bacteroides intermedius,Prevotella melaninogenicus,,,,,,,,,Corynebacterium flaccumfaciens flaccumfaciens,,,,Aeromonas tecta,,,Bacillus subtilis spizizenii,,,
Edwardsiella hoshinae,Pseudomonas nosocomialis,,,Staphylococcus hominis novobiosepticus,,,,Streptococcus mutans,,,,,Bacteroides koreensis,Prevotella melaninogenicus intermedius,,,,,,,,,Corynebacterium flaccumfaciens oortii,,,,Aeromonas veronii,,,Bacillus subtilis stercoris,,,
Edwardsiella tarda,Pseudomonas oleovorans,,,Staphylococcus hyicus,,,,Streptococcus sobrinus,,,,,Bacteroides kribbi,Prevotella melaninogenicus melaninogenicus,,,,,,,,,Corynebacterium flaccumfaciens poinsettiae,,,,Aeromonas sp.,,,Bacillus subtilis subtilis,,,
Enterobacter aerogenes,Pseudomonas oleovorans lubricantis,,,Staphylococcus hyicus chromogenes,,,,,,,,,Bacteroides levii,Prevotella multiformis,,,,,,,,,Corynebacterium fournieri,,,,,,,Bacillus thiaminolyticus,,,
Enterobacter agglomerans,Pseudomonas oleovorans oleovorans,,,Staphylococcus hyicus hyicus,,,,,,,,,Bacteroides loescheii,Prevotella multisaccharivorax,,,,,,,,,Corynebacterium fournierii,,,,,,,Bacillus thuringiensis,,,
Enterobacter amnigenus,Pseudomonas oryzihabitans,,,Staphylococcus intermedius,,,,,,,,,Bacteroides macacae,Prevotella nanceiensis,,,,,,,,,Corynebacterium freiburgense,,,,,,,Bacillus thuringiensis aizawai,,,
Enterobacter asburiae,Pseudomonas otitidis,,,Staphylococcus lentus,,,,,,,,,Bacteroides massiliensis,Prevotella nigrescens,,,,,,,,,Corynebacterium freneyi,,,,,,,Bacillus thuringiensis israelensis,,,
Enterobacter bugandensis,Pseudomonas paucimobilis,,,Staphylococcus lugdunensis,,,,,,,,,Bacteroides melaninogenicus,Prevotella oralis,,,,,,,,,Corynebacterium glucuronolyticum,,,,,,,Bacillus thuringiensis kurstaki,,,
Enterobacter cancerogena,Pseudomonas perfectomarina,,,Staphylococcus massiliensis,,,,,,,,,Bacteroides melaninogenicus intermedius,Prevotella oris,,,,,,,,,Corynebacterium godavarianum,,,,,,,Bacillus thuringiensis thuringiensis,,,
Enterobacter cancerogenus,Pseudomonas pickettii,,,Staphylococcus pasteuri,,,,,,,,,Bacteroides melaninogenicus macacae,Prevotella oulora,,,,,,,,,Corynebacterium gottingense,,,,,,,Bacillus wakoensis,,,
Enterobacter cloacae,Pseudomonas poae,,,Staphylococcus pettenkoferi,,,,,,,,,Bacteroides melaninogenicus melaninogenicus,Prevotella oulorum,,,,,,,,,Corynebacterium hadale,,,,,,,Bacillus weihenstephanensis,,,
Enterobacter cloacae cloacae,Pseudomonas pseudoalcaligenes,,,Staphylococcus pseudintermedius,,,,,,,,,Bacteroides merdae,Prevotella pentosaceus,,,,,,,,,Corynebacterium hansenii,,,,,,,Bacillus sp.,,,
Enterobacter cloacae dissolvens,Pseudomonas pseudoalcaligenes citrulli,,,Staphylococcus saccharolyticus,,,,,,,,,Bacteroides nodosus,Prevotella phocaeensis,,,,,,,,,Corynebacterium ihumii,,,,,,,,,,
Enterobacter cowanii,Pseudomonas pseudoalcaligenes konjaci,,,Staphylococcus saprophyticus,,,,,,,,,Bacteroides nordii,Prevotella pleuritidis,,,,,,,,,Corynebacterium imitans,,,,,,,,,,
Enterobacter gergoviae,Pseudomonas pseudoalcaligenes pseudoalcaligenes,,,Staphylococcus saprophyticus bovis,,,,,,,,,Bacteroides ochraceus,Prevotella ruminicola,,,,,,,,,Corynebacterium jeikeium,,,,,,,,,,
Enterobacter hormaechei,Pseudomonas pseudomallei,,,Staphylococcus saprophyticus saprophyticus,,,,,,,,,Bacteroides oralis,Prevotella ruminicola brevis,,,,,,,,,Corynebacterium kroppenstedtii,,,,,,,,,,
Enterobacter hormaechei hoffmannii,Pseudomonas psychrotolerans,,,Staphylococcus schleiferi,,,,,,,,,Bacteroides oris,Prevotella ruminicola ruminicola,,,,,,,,,Corynebacterium kutscheri,,,,,,,,,,
Enterobacter hormaechei hormaechei,Pseudomonas putida,,,Staphylococcus schleiferi coagulans,,,,,,,,,Bacteroides oulorum,Prevotella scopos,,,,,,,,,Corynebacterium lipophiloflavum,,,,,,,,,,
Enterobacter hormaechei oharae,Pseudomonas shirazica,,,Staphylococcus schleiferi schleiferi,,,,,,,,,Bacteroides ovatus,Prevotella tannerae,,,,,,,,,Corynebacterium lowii,,,,,,,,,,
Enterobacter hormaechei steigerwaltii,Pseudomonas stutzeri,,,Staphylococcus sciuri,,,,,,,,,Bacteroides pectinophilus,Prevotella timonensis,,,,,,,,,Corynebacterium macginleyi,,,,,,,,,,
Enterobacter hormaechei xiangfangensis,Pseudomonas testosteroni,,,Staphylococcus sciuri carnaticus,,,,,,,,,Bacteroides pentosaceus,Prevotella veroralis,,,,,,,,,Corynebacterium massiliense,,,,,,,,,,
Enterobacter huaxiensis,Pseudomonas vesicularis,,,Staphylococcus sciuri lentus,,,,,,,,,Bacteroides pneumosintes,Prevotella vespertina,,,,,,,,,Corynebacterium minutissimum,,,,,,,,,,
Enterobacter kobei,Pseudomonas woodsii,,,Staphylococcus sciuri rodentium,,,,,,,,,Bacteroides praeacutus,Prevotella zoogleoformans,,,,,,,,,Corynebacterium mucifaciens,,,,,,,,,,
Enterobacter ludwigii,Pseudomonas yangonensis,,,Staphylococcus sciuri sciuri,,,,,,,,,Bacteroides pyogenes,Prevotella sp.,,,,,,,,,Corynebacterium nigricans,,,,,,,,,,
Enterobacter muelleri,Pseudomonas zeshuii,,,Staphylococcus simulans,,,,,,,,,Bacteroides ruminicola,,,,,,,,,,Corynebacterium oculi,,,,,,,,,,
Enterobacter quasihormaechei,Pseudomonas sp.,,,Staphylococcus succinus,,,,,,,,,Bacteroides ruminicola brevis,,,,,,,,,,Corynebacterium oortii,,,,,,,,,,
Enterobacter sakazakii,,,,Staphylococcus succinus casei,,,,,,,,,Bacteroides ruminicola ruminicola,,,,,,,,,,Corynebacterium otitidis,,,,,,,,,,
Enterobacter taylorae,,,,Staphylococcus succinus succinus,,,,,,,,,Bacteroides salivosus,,,,,,,,,,Corynebacterium paurometabolum,,,,,,,,,,
Enterobacter wuhouensis,,,,Staphylococcus warneri,,,,,,,,,Bacteroides salyersae,,,,,,,,,,Corynebacterium pilbarense,,,,,,,,,,
Erwinia ananatis,,,,Staphylococcus xylosus,,,,,,,,,Bacteroides salyersiae,,,,,,,,,,Corynebacterium poinsettiae,,,,,,,,,,
Erwinia cancerogena,,,,Staphylococcus sp.,,,,,,,,,Bacteroides splanchnicus,,,,,,,,,,Corynebacterium propinquum,,,,,,,,,,
Erwinia herbicola,,,,,,,,,,,,,Bacteroides stercoris,,,,,,,,,,Corynebacterium pseudotuberculosis,,,,,,,,,,
Erwinia milletiae,,,,,,,,,,,,,Bacteroides suis,,,,,,,,,,Corynebacterium pyogenes,,,,,,,,,,
Erwinia persicina,,,,,,,,,,,,,Bacteroides tectus,,,,,,,,,,Corynebacterium pyruviciproducens,,,,,,,,,,
Erwinia persicinus,,,,,,,,,,,,,Bacteroides termitidis,,,,,,,,,,Corynebacterium resistens,,,,,,,,,,
Erwinia uredovora,,,,,,,,,,,,,Bacteroides thetaiotaomicron,,,,,,,,,,Corynebacterium riegelii,,,,,,,,,,
Escherichia adecarboxylata,,,,,,,,,,,,,Bacteroides uniformis,,,,,,,,,,Corynebacterium rouxii,,,,,,,,,,
Escherichia albertii,,,,,,,,,,,,,Bacteroides ureolyticus,,,,,,,,,,Corynebacterium segmentosum,,,,,,,,,,
Escherichia coli,,,,,,,,,,,,,Bacteroides veroralis,,,,,,,,,,Corynebacterium seminale,,,,,,,,,,
Escherichia fergusonii,,,,,,,,,,,,,Bacteroides vulgatus,,,,,,,,,,Corynebacterium simulans,,,,,,,,,,
Escherichia vulneris,,,,,,,,,,,,,Bacteroides zoogleoformans,,,,,,,,,,Corynebacterium sputi,,,,,,,,,,
Ewingella americana,,,,,,,,,,,,,Parabacteroides chongii,,,,,,,,,,Corynebacterium striatum,,,,,,,,,,
Hafnia alvei,,,,,,,,,,,,,Parabacteroides distasonis,,,,,,,,,,Corynebacterium sundsvallense,,,,,,,,,,
Hafnia paralvei,,,,,,,,,,,,,Parabacteroides goldsteinii,,,,,,,,,,Corynebacterium timonense,,,,,,,,,,
Klebsiella aerogenes,,,,,,,,,,,,,Parabacteroides gordonii,,,,,,,,,,Corynebacterium tuberculostearicum,,,,,,,,,,
Klebsiella granulomatis,,,,,,,,,,,,,Parabacteroides merdae,,,,,,,,,,Corynebacterium tuscaniae,,,,,,,,,,
Klebsiella grimontii,,,,,,,,,,,,,Phocaeicola abscessus,,,,,,,,,,Corynebacterium tuscaniense,,,,,,,,,,
Klebsiella mobilis,,,,,,,,,,,,,Phocaeicola dorei,,,,,,,,,,Corynebacterium urealyticum,,,,,,,,,,
Klebsiella ornithinolytica,,,,,,,,,,,,,Phocaeicola massiliensis,,,,,,,,,,Corynebacterium ureicelerivorans,,,,,,,,,,
Klebsiella oxytoca,,,,,,,,,,,,,Phocaeicola vulgatus,,,,,,,,,,Corynebacterium xerosis,,,,,,,,,,
Klebsiella pasteurii,,,,,,,,,,,,,Bacteroides sp.,,,,,,,,,,Corynebacterium sp.,,,,,,,,,,
Klebsiella planticola,,,,,,,,,,,,,Parabacteroides sp.,,,,,,,,,,,,,,,,,,,,
Klebsiella pneumoniae,,,,,,,,,,,,,Phocaeicola sp.,,,,,,,,,,,,,,,,,,,,
Klebsiella pneumoniae ozaenae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella pneumoniae pneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella pneumoniae rhinoscleromatis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella quasipneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella quasipneumoniae quasipneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella quasipneumoniae similipneumoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella singaporensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella trevisanii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella variicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella variicola tropica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella variicola tropicalensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klebsiella variicola variicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kluyvera ascorbata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kluyvera cryocrescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosakonia cowanii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosakonia quasisacchari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koserella trabulsii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leclercia adecarboxylata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lelliottia amnigena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lelliottia amnigenus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leminorella grimontii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levinea amalonatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levinea malonatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixta calida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moellerella wisconsensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morganella morganii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morganella morganii morganii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morganella morganii sibonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantoea agglomerans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantoea ananas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantoea ananatis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantoea brenneri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantoea calida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantoea conspicua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantoea dispersa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantoea eucrina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantoea herbicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantoea milletiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantoea pleuroti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantoea septica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantoea uredovora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photorhabdus asymbiotica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photorhabdus asymbiotica asymbiotica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photorhabdus asymbiotica australis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleisomonas shigelloides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pluralibacter gergoviae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteus faecis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteus inconstans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteus mirabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteus morganii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteus penneri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteus rettgeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteus vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providencia alcalifaciens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providencia heimbachae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providencia rettgeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providencia stuartii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudescherichia vulneris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahnella aquatilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raoultella ornithinolytica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raoultella planticola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raoultella trevisanii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aachen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aarhus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Abadina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Abaetetuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aberdeen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Abidjan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ablogame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Abobo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Abony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Abortusequi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Abortusovis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Abuja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Accra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Ackwepe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Adabraka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Adamstown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Adamstua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Adana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Adelaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Adeoyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aderike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Adime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Adjame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aequatoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aesch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Aflao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Africana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Afula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Agama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Agbara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Agbeni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmonella enterica Agege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
